ID,ENTITY_NAME,ACCOUNTING_STANDARD,CONSOLIDATION_TYPE,CURRENCY,FX_RATE,REVENUES,REV__GROWTH____,OPERATING_EBITDA,OPERATING_EBITDA_MARGIN____,OPERATING_EBITDAR,NET_INCOME___CORPORATES,CASH___MARKETABLE_SECURITIES,ST_DEBT,TOTAL_DEBT_WITH_EQUITY_CREDIT,TOTAL_ADJUSTED_DEBT,FUNDS_FLOW_FROM_OPERATIONS,CASH_FLOW_FROM_OPERATIONS,CAPITAL_EXPENDITURE,DIVIDENDS_PAID,FREE_CASH_FLOW,NET__ACQUISITIONS__DIVESTITURES,TOTAL_DEBT__EXCL__NON_RECOURSE_DEBT_,NET_EQUITY_PROCEEDS__BUYBACK_,FFO_INTEREST_COVERAGE__X_,FFO_FIXED_CHARGE_COVERAGE,_OPERATING_EBITDAR_CAPEX____GROSS_INT_EXP,OPERATING_EBITDA___GROSS_INTEREST_EXP_,TOTAL_ADJ__DEBT___OPERATING_EBITDAR__X_,TOTAL_DEBT_WITH_EQUITY_CREDIT___OPERATING_EBITDA,RATING
93,FEMSA S.A.B. de C.V.,Local GAAP,Noncon,USD,MXN - USD 20.7314,19270.62,0.28,2261.5,0.11,2637.74,1019.71,2104.87,315.27,6371.49,8628.94,1786.32,2196.91,1031.86,403.01,762.03,851.65,6371.49,0,7.53,3.69,-13.29,8.49,3.3,2.84,A
94,"Ferrovial, S.A.",IFRS,Con,USD,EUR - USD 0.7579,10141.18,0.03,1223.12,0.12,1501.52,938.12,3888.38,1621.59,10852.36,13079.56,1217.84,1138.67,1208.6,1091.17,-1161.1,-1178.26,10852.36,178.12,3.63,2.62,-6.75,3.77,6.6,6.38,BBB
95,"Fidelity National Information Services, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,9433,0.42,3082,0.32,3225,567,213,332,10591,11735,1753,1905,616,341,948,0,10591,72,5.94,4.51,-9.48,8.72,3.66,3.46,BBB
96,First Quantum Minerals Ltd.,U.S. GAAP,Con,USD,USD - USD 1.0000,2698,-0.23,610,0.22,610,-496,245,386,5789,5789,366,543,1565,39,-1061,0,5789,1121,2.17,2.17,-94.48,1.95,9.52,9.52,B
97,"Flowers Foods, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,3926.89,0.03,465.54,0.11,562.9,163.78,6.41,11.49,966.29,1745.15,343.59,346.04,101.73,131.07,113.24,-17.67,966.29,-98.67,13.01,3.6,-19.04,17.31,3.1,2.08,BBB
98,Flowserve Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,3990.49,-0.12,496.94,0.12,551.64,132.46,138.36,85.36,1570.62,2008.22,335.6,240.48,89.7,97.75,53.03,1.77,1570.62,0,6.8,3.97,-10.66,8.66,3.64,3.16,BBB
99,Fonterra Co-operative Group Limited,Local GAAP,Con,USD,NZD - USD 1.3298,14462.47,0.11,1206.21,0.08,1269.38,551.97,295.54,844.5,4904.09,5346.27,852.77,727.94,596.34,342.91,-211.31,0,4904.09,0,3.85,3.35,-6.31,4.01,4.28,4.14,A
100,Ford Motor Company,U.S. GAAP,Con,USD,USD - USD 1.0000,141546,0,11387,0.08,11861,4596,27462,2685,16360,20152,8200,11045,6947,3376,1722,0,16360,-145,11.31,7.4,-22.7,16.78,1.5,1.26,BBB
101,"Fortune Brands Home & Security, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,4984.9,0.08,801.3,0.16,844.8,412.4,76.8,0,1440,1788,559.4,650.5,149.3,98.2,403,235.8,1440,-399,13.8,7.42,-20.25,18.34,2.12,1.8,BBB
102,Gas Natural de Lima y Callao S.A.,IFRS,Noncon,USD,USD - USD 1.0000,535.8,0,124.55,0.23,124.55,55.37,14.71,14.08,341.31,341.31,63.17,56.31,80.54,30.45,-54.68,0,341.31,-5.55,4.19,4.19,-13.17,6.59,2.74,2.74,BBB
103,GEA Group Aktiengesellschaft,U.S. GAAP,Con,USD,EUR - USD 0.7579,5465.5,-0.23,559.18,0.1,663.94,279.59,971.1,174.83,1501.39,2339.49,499.14,568.68,164.93,133.39,270.35,88.01,1501.39,0,10.04,4.09,-6.62,10.32,3.51,2.67,BBB
104,General Dynamics Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,31353,0,4863,0.15,5170,3062,2334,900,3924,6380,2771,2198,392,911,895,-9,3924,-1704,34.29,8.09,-56.18,58.59,1.23,0.81,A
105,General Motors Company,U.S. GAAP,Con,USD,USD - USD 1.0000,156849,0.07,14793,0.09,15101,9727,18900,1167,11251,13715,11631,13347,9435,2368,1544,809,11251,-2500,25.03,15.47,-45.21,36.33,0.8,0.67,BBB
106,GeoPark Limited,IFRS,Con,USD,USD - USD 1.0000,192.67,-0.08,74.95,0.38,78.82,-49.09,73.56,39.28,358.67,389.62,54.96,50.99,39.31,0,11.68,0,358.67,-1.99,3.07,2.8,-3.65,2.69,5.38,5.23,B
107,GlaxoSmithKline PLC,Local GAAP,Con,USD,GBP - USD 0.6072,43651.19,0,14212.78,0.32,14338.27,8952.57,9222.66,4593.21,30047.76,31051.71,10031.29,10395.26,2801.38,6060.61,1533.27,-3334.98,30047.76,-1587.62,9.05,8.31,-14.39,11.23,2.22,2.17,A
108,GOL Linhas Aereas Inteligentes S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,3028.18,0,351.15,0.11,657.09,338.3,304.88,256.34,1957.72,4099.28,112.83,-31.96,-29.79,50.06,-52.23,0,1957.72,-8.48,1.4,1.1,-2.3,1.9,6.2,5.6,B
109,Goldcorp Inc.,Local GAAP,Con,USD,USD - USD 1.0000,3510,-0.19,1255,0.35,1260,162,157,0,2782,2822,937,799,696,97,6,-6,2782,3,41.36,33.89,-17.31,57.05,2.24,2.22,BBB
110,Goodyear Tire & Rubber Company (The),U.S. GAAP,Con,USD,USD - USD 1.0000,15158,-0.07,2622,0.17,2913,1264,0,1183,6032,8360,1610,1290,996,82,212,-35,6032,-487,5.54,3.48,-9.79,7.44,2.88,2.31,BB
111,Grainger plc,Local GAAP,Con,USD,GBP - USD 0.6579,371.03,-0.23,138.01,0.37,138.01,64.9,118.86,202.61,1864.11,1864.11,58.22,17.18,0,15.81,1.37,23.86,1864.11,-6.69,1.62,1.62,-1.38,1.54,13.12,13.12,BB
112,"Gruma, S.A.B. de C.V.",U.S. GAAP,Noncon,USD,MXN - USD 20.7314,3290,0.17,531.57,0.16,578.83,285.66,263.68,179.67,769.59,1053.15,354.45,403.16,272.73,20.87,109.56,-7.8,769.59,0,13.52,5.68,-26.82,18.73,1.83,1.45,BBB
113,Grupo Aldesa,Local GAAP,Noncon,USD,EUR - USD 0.9487,841.32,-0.03,36.77,0.04,38.35,-26.67,116.95,105.98,380.54,393.19,15.57,-24.88,8.24,0,-54.42,-2.74,380.54,0,1.3,1.3,-1.3,1.1,10.3,10.3,B
114,"Grupo Bimbo, S.A.B. De C.V.",Local GAAP,Noncon,USD,MXN - USD 20.7314,12162.28,0.15,1339.22,0.11,1526.77,284.5,328.68,103.71,3979.52,5104.77,993.71,916.58,634.45,54.46,227.67,141.48,3979.52,0,5.68,3.47,-8.17,6.39,3.34,2.97,BBB
115,"Grupo Cementos de Chihuahua, S.A.B. de C.V.",Local GAAP,Noncon,USD,MXN - USD 20.7314,675.15,0.16,169.32,0.25,186.08,61.78,163.85,3.85,698.13,798.74,109.04,122.02,40.94,8.28,72.8,295.5,698.13,0,4.63,3.32,-7.97,5.72,4.29,4.12,BB
116,Grupo Energia Bogota S.A. E.S.P. (GEB),Local GAAP,Con,USD,COP - USD 3000.7100,1044.03,-0.08,492.27,0.47,492.27,429.56,516.26,92.84,2734.02,2734.02,631.21,450.85,307.56,111,32.3,-0.32,2734.02,0,5.02,5.02,-7.61,5.08,3.58,3.58,BBB
117,"Grupo KUO, S.A.B. de C.V.",Local GAAP,Con,USD,MXN - USD 20.7314,1042.77,0.1,115.28,0.11,116.77,43.39,166.56,18.82,452.96,461.87,66.62,67.06,60.49,9.91,-3.33,-5.07,452.96,-3.37,3.32,3.2,-6.59,4.65,3.67,3.65,BB
118,"Grupo Posadas, S.A.B. De C.V.",Local GAAP,Con,USD,MXN - USD 20.7314,373.06,0.12,74.33,0.19,95.8,-34.01,63.67,0,379.71,508.5,56.87,53.16,33.91,0,19.25,-12.59,379.71,0,2.65,2,-4.17,2.24,5.31,5.11,B
119,"Harley-Davidson, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,5899.9,0.05,1585.5,0.26,1598,734,1165.6,1842.4,5259.1,5359.1,1113.9,977.1,208.3,187.7,581.1,0,5259.1,-428.6,6.62,6.28,-8.57,8.04,3.35,3.32,A
120,Harsco Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,1451.22,-0.15,257.24,0.17,274.13,-86.34,1.38,29.83,677.71,812.91,168.97,158.08,69.34,4.11,84.64,0.03,677.71,0,4.36,3.5,-6.63,5.15,2.98,2.65,BB
121,"HCA Healthcare, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,41490,0.04,8415,0.2,9093,2890,646,216,31546,36970,5177,5219,2760,0,2459,550,31546,-2751,4.11,3.21,-6.69,4.79,4.27,3.95,BB
122,HCA Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,36918,0.08,7548,0.2,8048,1875,566,338,29645,33645,4270,4006,2176,7,1823,715,29645,-1750,3.43,2.89,-5.61,4.04,4.42,4.17,BB
123,Henkel AG & Co. KGaA,IFRS,Con,USD,EUR - USD 0.9487,19725.94,0.03,3519.55,0.17,3539.37,2164.01,1098.03,447.98,4114.05,4272.58,2259.41,2376.41,587.12,667.23,1392.43,3928.53,4114.05,0,8.54,8.07,-155.27,132.24,1.22,1.18,A
124,"Home Depot, Inc. (The)",U.S. GAAP,Con,USD,USD - USD 1.0000,94595,0.06,15667,0.16,16651,7957,538,1252,23838,31710,10244,9783,1621,3404,4758,-38,23838,-6662,12.05,6.35,-18.8,16.96,1.9,1.52,A
125,"Honda Motor Co., Ltd",U.S. GAAP,Con,USD,JPY - USD 94.1500,104917.12,0.24,12090.06,0.11,12289,3899.62,12810.71,23190.05,51982.88,53574.38,10512.78,8504.98,15082.28,1378.28,-7955.58,0,51982.88,0,81.3,32.6,-211.98,93.63,4.36,4.3,A
126,"Honeywell International, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,39302,0.01,7897,0.2,8284,4809,1443,3593,15775,18871,6032,5498,1095,1915,2488,2256,15775,-1670,19.01,9.28,-26.05,24,2.28,2,A
127,Hongkong Land Holdings Limited,IFRS,Con,USD,USD - USD 1.0000,1932.1,0.02,996.7,0.51,999.7,2011.7,1491.7,168.9,3909.7,3933.7,771.9,891.8,210.1,444.9,236.8,0,3909.7,0,7.15,6.99,-8.76,9.33,3.54,3.52,A
128,Hubbell  Incorporated,U.S. GAAP,Con,USD,USD - USD 1.0000,3505.2,0.03,627.4,0.17,656.2,293,120.6,3.2,993.7,1224.1,405.5,395.4,67.2,144,184.2,162.6,993.7,-246.8,11.93,7.15,-16.6,16.84,1.87,1.59,A
129,Imperial Brands PLC,Local GAAP,Noncon,USD,GBP - USD 0.7715,18274.79,0.1,4851.59,0.26,4871.29,370.71,1099.16,2001.3,18915.1,19072.72,3183.41,3362.28,296.82,1796.5,1268.96,-54.44,18915.1,2.59,5.48,5.36,-7.47,6.8,3.94,3.92,BBB
130,Ingredion Incorporated,U.S. GAAP,Con,USD,USD - USD 1.0000,5704,0.01,1047,0.18,1100,485,117,106,1956,2380,794,771,284,141,346,404,1956,21,14.29,8,-18.96,17.75,2.16,1.87,BBB
131,Inkia Energy Limited,IFRS,Noncon,USD,USD - USD 1.0000,1517.39,0.57,366.56,0.24,366.56,13.82,172.69,360.94,2546.21,2546.21,111.94,29.86,235.29,0,-205.43,205.64,2546.21,9.43,1.85,1.85,-4.37,2.75,7.4,7.4,BB
132,Instituto Costarricense de Electricidad y Subsidia,Regulatory,Con,USD,CRC - USD 538.4050,2467.58,-0.03,612.67,0.24,744.02,-21.24,534.33,220.23,3802.38,4853.17,687.09,731.24,424.12,0,307.12,0,3802.38,0,3.4,2.6,-4.48,2.35,6.52,6.21,BB
133,"Interpublic Group of Companies, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,7846.6,0.03,1183.8,0.15,1549.9,608.5,1100.6,409.6,1701.1,4629.9,909.8,499.7,200.7,238.4,60.6,52,1701.1,-293.1,12.29,3,-19.17,14.85,3.01,1.45,BBB
134,Inversiones CMPC,IFRS,Noncon,USD,USD - USD 1.0000,4447.17,0.01,794.23,0.17,794.23,73.08,593.74,420.47,4315.03,4315.03,646.99,427.18,381.02,0,46.16,-1.14,4315.03,0,4.2,4.2,-5.61,3.99,5.43,5.43,BBB
135,Inversiones y Representaciones S.A.,Local GAAP,Con,USD,ARS - USD 15.0000,296.4,-0.02,198.4,0.66,198.4,-124.8,8.6,187.53,615.33,615.33,56.93,24.33,138.53,7.07,-121.27,0,615.33,0,1.5,1.5,-3.5,2,3.3,3.3,B
136,IRSA Propiedades Comerciales S.A.,Local GAAP,Con,USD,ARS - USD 15.0000,178.32,0.39,133.21,0.74,133.21,60.78,37.86,41.77,392.87,392.87,75.02,46.31,12.2,18.91,15.21,4.73,392.87,0,4.9,4.9,-3.4,6.9,3.1,3.1,B
137,JBS S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,52288.02,0.04,3463.83,0.06,3688.62,115.38,2871.14,5569.68,17265.74,18389.69,1356.28,948.97,1163.52,338.24,-552.79,59.74,17265.74,-364.78,1.95,1.8,-3.97,2.6,5.24,5.25,BB
138,JSC Holding Company United Confectioners,IFRS,Con,USD,RUB - USD 60.6569,1044.95,0.03,79.12,0.07,82.06,56.1,39.98,83.8,230.73,248.38,45.95,43.3,31.44,0,11.86,8.77,230.73,28.03,2.37,2.24,-4.21,2.98,3.03,2.92,B
139,JSC MCC EuroChem,IFRS,Con,USD,RUB - USD 32.7292,5406.08,0.06,1271.64,0.23,1278.6,374.65,322.42,262.64,3323.44,3379.14,944.59,961.04,995.85,0,-34.82,19.24,3323.44,-57.58,7.09,6.83,-13.1,8.29,2.64,2.61,BB
140,JSL S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,2068.26,0.12,321,0.15,341.89,-56.21,320.15,545.77,1999,2103.45,575,679.79,766.29,64.05,-150.56,7.89,1999,-10.62,4.17,3.84,-5.14,1.77,6.15,6.23,BB
141,JSW Steel Limited,Local GAAP,Con,USD,INR - USD 66.3329,6313.44,-0.2,915.53,0.14,923.85,-111.85,147.53,2377.34,7436.31,7486.2,500.53,863.34,780.71,53.31,33.53,-0.59,7436.31,0,2.16,2.14,-3.68,2.18,8.08,8.1,BB
142,Kansas City Southern de Mexico S.A. de C.V.,Local GAAP,Con,USD,USD - USD 1.0000,1204.4,0.09,548.2,0.45,566.7,292.9,311.6,19.7,1123.2,1252.7,420.9,410.2,165.1,0,245.1,98.5,1123.2,0,11.1,8,-17.6,13.2,2.2,2,BBB
143,Kellogg Company,U.S. GAAP,Con,USD,USD - USD 1.0000,13014,-0.03,2583,0.19,2759,694,40,1923,8607.4,10015.4,1458,774,507,716,-449,398,8607.4,-58,4.6,3.51,-8.04,6.38,3.63,3.33,BBB
144,Kennametal Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,2058.37,-0.01,306.68,0.14,332.98,49.14,75.23,0.93,701.92,912.32,172.69,192.2,118.02,64.13,10.06,-5.02,701.92,-0.24,7.27,4.21,-15.64,11.14,2.74,2.29,BBB
145,Kerr-McGee Corp.,U.S. GAAP,Con,USD,USD - USD 1.0000,5927,0.14,2821,0.47,2919,946,1053,308,3134,3918,3011,3103,1920,153,1030,-3305,3134,-3775,9.73,7.8,-17.22,8.18,1.34,1.11,BBB
146,"Keysight Technologies, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,2930,0.02,611,0.2,656,335,227,0,1100,1460,488,416,91,0,325,10,1100,-19,12.02,6.45,-15.89,13.89,2.23,1.8,BBB
147,"Kimberly Clark de Mexico, S.A.B. de C.V.(KCM)",Local GAAP,Con,USD,MXN - USD 20.7314,1720.11,0.1,464,0.27,464,231.22,359.91,120.59,887.33,887.33,308.14,274.77,96.14,226.9,-48.26,105.09,887.33,-14.37,7.4,7.4,-9.5,10,1.9,1.9,A
148,Kimberly-Clark Corp.,U.S. GAAP,Con,USD,USD - USD 1.0000,18202,-0.02,4142,0.22,4413,2166,0,1133,7642,9810,3086,3232,771,1311,1150,0,7642,-632,10.76,6.25,-16.65,13.56,2.16,1.79,A
149,Kingfisher plc,Local GAAP,Con,USD,GBP - USD 0.8024,13989.28,0.07,1277.42,0.09,1774.68,760.22,679.21,17.45,246.76,4224.83,942.17,967.1,505.98,286.64,174.48,-103.44,246.76,-251.74,76.1,2.84,-67.78,102.5,2.38,0.19,BBB
150,Kohl's Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,19204,0,2535,0.13,2814,673,707,127,4731,6963,1896,1474,690,349,435,0,4731,-854,6.96,4.18,-10.72,7.97,2.47,1.87,BBB
151,Kosmos Energy Ltd.,U.S. GAAP,Noncon,USD,USD - USD 1.0000,855.88,0,623.67,0.72,628.27,279.37,529.83,0,794.27,831.07,497.07,423.01,406.34,0,16.67,58.31,794.27,-11.1,12.4,11.3,-17.9,14.3,1.3,1.3,B
152,Kroger Co. (The),U.S. GAAP,Con,USD,USD - USD 1.0000,115337,0.05,6028,0.05,6909,1975,1232,2252,14068.59,21116.59,4866,4272,3699,429,144,269,14068.59,-1698,10.64,4.51,-20.32,11.94,3.06,2.33,BBB
153,KT Corporation,Local GAAP,Con,USD,KRW - USD 1172.5000,19003.17,0,4207.21,0.22,4302.54,351.29,2175.2,1524.33,7721.62,8484.27,4149,3607.65,2997.96,35.46,574.23,-26.19,7721.62,0,11.85,9.64,-22.27,11.39,1.96,1.82,A
154,Ladbrokes Coral Group plc,Local GAAP,Con,USD,GBP - USD 0.6748,1777.56,0.02,233.11,0.13,335.21,7.56,41.94,7.26,492.59,1309.43,139.6,201.84,97.95,77.5,26.38,4.15,492.59,167.16,4.52,1.98,-11.83,5.89,3.91,2.11,BB
155,LafargeHolcim Ltd,IAS,Con,USD,CHF - USD 1.0178,26433.48,0.14,5722.15,0.21,5974.65,1717.43,4246.41,4888.98,19375.12,21395.17,2894.48,2974.06,1741.99,893.1,338.97,-2301.04,19375.12,4.91,3.34,2.92,-8.64,4.82,3.65,3.45,BBB
156,"Level 3 Communications, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,8172,0,2850,0.34,3197,677,1819,7,11009,13785,2229,2343,1334,0,1009,-3,11009,0,5.38,3.6,-8.3,5.61,4.31,3.86,BB
157,Levi Strauss & Co.,U.S. GAAP,Con,USD,USD - USD 1.0000,4674.43,0.05,462.62,0.09,637.23,137.95,204.54,156.46,1976.09,3372.89,180,1.85,130.58,20.02,-148.75,0,1976.09,-0.49,2.38,1.59,-5.82,3.58,5.29,4.27,BB
158,Liberty Interactive LLC,U.S. GAAP,Con,USD,USD - USD 1.0000,10054,0.04,1900,0.18,2119,1530,5330,1638,7884,9636,1009,1432,339,0,1093,0,7884,-815,3.46,2.6,-5.69,4.62,4.55,4.15,BB
159,Life Technologies Corp.,U.S. GAAP,Con,USD,USD - USD 1.0000,3775.7,0.05,1193.3,0.31,1242.8,378.6,865.4,452.5,2754.8,3150.8,902.8,809.1,105.1,0,704,2.8,2754.8,-282.6,9.18,6.64,-7.22,10.86,2.54,2.31,BBB
160,"LifePoint Health, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,6364,0.22,785.8,0.12,855.1,121.9,96.1,22.3,2936.2,3490.6,536.1,433.3,399.5,0,33.8,121.1,2936.2,-221,4.86,3.58,-8.12,5.65,4.09,3.75,BB
161,London Power Networks plc,Local GAAP,Con,USD,GBP - USD 0.8030,625.53,0.08,432.63,0.69,432.63,208.47,7.97,67.25,1302.62,1302.62,300.87,276.59,306.72,172.23,-202.37,0,1302.62,0,4.35,4.35,-11.46,5.82,3.01,3.01,BBB
162,Macy's Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,25778,-0.04,2802,0.1,3137,619,1297,309,6795.74,9475.74,1989,1801,912,459,430,0,6795.74,-280,6.01,3.71,-11.03,7.08,3.02,2.42,BBB
163,Magnesita Refratarios S.A.,Local GAAP,Con,USD,BRL - USD 3.2585,1041.3,0,159.6,0.15,159.6,139.31,306.48,211.98,797.18,797.18,77.29,91.1,63.79,0,27.31,-57.61,797.18,-11.56,2.4,2.4,-3.5,2.9,5,5,BB
164,Majid Al Futtaim Holding LLC,IFRS,Noncon,USD,AED - USD 3.6725,6868.35,0.11,1039.89,0.15,1170.59,693.81,227.37,739.82,2490.4,3287.41,818.79,914.64,1055.14,58.54,-199.05,7.9,2739.01,0,6.33,3.85,-12.7,6.97,3,2.38,BBB
165,Marathon Oil Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,4141,-0.25,1431,0.34,1524,-2140,2226,686,7309,8053,1081,1073,1245,162,-334,-317,7309,1236,3.85,3.28,-7.37,4.33,4.69,4.5,BBB
166,Marathon Petroleum Corporation,U.S. GAAP,Noncon,USD,USD - USD 1.0000,55833,-0.13,4292,0.07,4488,1174,137,28,11069,12637,3203,3444,2892,719,-167,-101,11069,1574,7.69,5.74,-11.84,8.45,2.98,2.74,BBB
167,"Marriott International, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,3526,0.23,2134,0.6,2317,780,858,309,8460,9924,1552,1582,279,374,929,2412,8460,-534,10.19,5.36,-11.22,13.11,4.23,3.91,BBB
168,"Martin Marietta Materials, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,3818.8,0.07,974.8,0.25,1060.7,425.3,50,180,1686.2,2373.4,758.9,678.3,387.3,105,186,178.8,1686.2,-237.9,11.3,5.75,-17.72,13.22,2.24,1.73,BBB
169,Mazoon Electricity Company SAOC,IFRS,Noncon,USD,OMR - USD 0.3845,709.06,0.06,132.58,0.18,132.58,48.53,26.67,175.18,715.18,715.18,117.86,188.51,322.63,19.51,-153.63,-0.51,715.18,0,6.8,6.8,-22.9,6.5,5.4,5.4,BBB
170,McDonald's Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,24621.9,-0.03,9468,0.38,11282.2,4686.5,1223.4,77.2,26362.7,40876.3,6100.7,6059.6,1821.1,3058.2,1180.3,109.5,26362.7,-10871.6,7.98,3.27,-14.69,10.84,3.62,2.78,BBB
171,Medco Health Solutions Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,70063.3,0.06,3260.7,0.04,3369.7,1455.7,231.7,2042.7,5055.6,5927.6,1911.8,1282.4,324.6,0,957.8,15,5055.6,-1640.8,10.39,7.12,-17.72,16.02,1.76,1.55,BBB
172,Melton Renewable Energy UK PLC,Local GAAP,Con,USD,GBP - USD 0.6757,191.51,0,68.88,0.35,69.77,-3.16,39.02,0,272.91,280.02,53.4,58.17,4.9,17.46,35.81,0,272.91,0,5.55,5.23,-1.61,5.88,4.01,3.96,BB
173,"Merck & Co., Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,39807,0,15598,0.39,15890,3920,1434.1,568,24787,27123,10511,10376,1614,5124,3638,780,24787,-2495,15.84,11.41,-25.28,22.76,1.71,1.59,A
174,Meritage Homes Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,3029.2,0.17,284,0.09,291.8,149.5,56.4,32.2,1133.7,1196.1,182.1,-103.4,16.7,0,-120.1,-0.2,1133.7,0.2,3.59,3.33,-4.87,4.04,4.1,3.99,BB
175,Metinvest B.V.,IFRS,Con,USD,USD - USD 1.0000,12807,0.01,2147,0.16,2147,158,783,1808,4308,4308,1671,1525,763,544,218,979,4308,0,7.42,7.42,-12.07,8.55,2.01,2.01,B
176,"Mexichem, S.A.B. de C.V.",Local GAAP,Con,USD,USD - USD 1.0000,5349.81,-0.06,883.65,0.16,909.73,249.18,713.61,726.16,3063.29,3219.8,483.45,604.82,488.28,54.24,3.21,19.86,3063.29,9.32,3.48,3.18,-7.27,4.63,3.54,3.47,BBB
177,MGM Resorts International,U.S. GAAP,Con,USD,USD - USD 1.0000,9455.12,0.02,2323.55,0.24,2403.55,1101.44,1096.58,8.38,13144.38,13784.38,1146.6,1430.61,2262.47,0,-831.87,555.5,13144.38,1132.47,2.73,2.55,-5.62,3.38,5.95,5.88,BB
178,MHP SE,IFRS,Con,USD,USD - USD 1.0000,1135.46,0.06,375.94,0.33,394.14,62.99,129.57,244.85,1235.36,1326.39,333.36,345.24,107.13,80,158.11,-1.2,1235.36,0,4.15,3.69,-4.65,3.54,3.4,3.32,B
179,Molibdenos y Metales S.A. (Molymet),IFRS,Con,USD,USD - USD 1.0000,699.86,-0.01,162.4,0.23,162.6,139.66,525.61,129.56,627.61,629.02,106.24,77.08,17.07,21.16,38.84,2.74,627.61,0,5.58,5.54,-6.99,7.38,3.87,3.87,BBB
180,"Mondelez International, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,25923,-0.12,4873,0.18,5190,1659,311,4727,18030.5,20566.5,2336,2759,1224,1094,441,-195,18030.5,-2601,4.71,3.47,-12.45,7.74,3.96,3.7,BBB
181,"Motorola Solutions, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,5695,-0.03,1307,0.22,1349,640,1142,4,4449.2,4785.2,958,1005,175,277,553,586,4449.2,-3077,6.88,5.67,-8.19,8.02,3.55,3.4,BBB
182,Murphy Oil Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,1809.58,-0.35,941.18,0.52,1018.7,-273.94,584.34,569.82,3016.4,3636.56,814.37,600.79,926.95,206.63,-532.79,-1155.14,3016.4,0,7.37,4.97,-12.76,7.37,3.57,3.21,BB
183,Nan Fung International Holdings Limited,IFRS,Con,USD,HKD - USD 7.7545,600.4,0.96,188.76,0.31,189.51,745.9,852.6,326.36,3376.74,3382.71,291.99,-276.08,129.51,0,-405.6,953.46,3376.74,0,2.77,2.76,-2.77,1.95,14.33,14.35,BBB
184,National Fuel Gas Co.,U.S. GAAP,Con,USD,USD - USD 1.0000,1452.42,-0.17,786.96,0.54,796.44,-290.96,129.97,0,2099,2174.83,639.58,588.98,581.58,134.82,-127.42,-137.32,2099,13.85,6.31,5.92,-11.34,6.58,2.73,2.67,BBB
185,National Grid Plc,IFRS,Con,USD,GBP - USD 0.6757,22496.67,0.02,7682.4,0.34,7827.44,3469,1038.92,4891.22,37342.02,36856.59,5786.59,6232.06,4858.67,1881.01,-507.62,0,38755.36,23.68,5.25,4.83,-7.7,5.78,4.82,4.79,BBB
186,"NET4GAS, s.r.o.",Local GAAP,Noncon,USD,CZK - USD 24.8240,397.96,0.12,311.55,0.78,313.89,111.26,70.5,21.91,1238.64,814.21,221.88,229.82,23.53,179.91,26.39,0,1681.76,0,4.51,4.38,-6.12,4.93,4.01,3.98,BBB
187,NewMarket Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,2049.5,-0.04,407.6,0.19,440.6,243.4,126,0,507.3,771.3,358.7,353.5,142.9,75.8,134.8,0,507.3,-35.8,20.08,7.92,-34.73,21.68,1.75,1.25,BBB
188,NGL Energy Partners LP,U.S. GAAP,Noncon,USD,USD - USD 1.0000,13022.23,0.1,343.52,0.02,467.82,136.81,12.26,29.59,3144.03,4020.93,195.74,-26.82,363.87,181.58,-572.28,71.27,3261.53,522.11,2.26,1.69,-5.55,2.94,8.78,9.06,B
189,NH Hotel Group S.A.,IFRS,Con,USD,EUR - USD 0.7251,1738.37,-0.01,124.29,0.07,507.67,-82.44,170.83,137.51,1212.64,4279.74,-21.16,-26.49,54.61,0,-81.1,-194.99,1212.64,0,0.72,0.94,-5.26,1.3,8.43,9.76,B
